original_candidate_id,recovery_candidate_id,selected_function_id,project,function_name,producer,build_view,original_failure_reason,recovery_eligibility,recovery_reason,clang_fix_required,llm4decompile_fix_required,clang_recovery_status,llm4decompile_recovery_status
phase3a::zstd_lib_compress_huf_compress.c_HUF_tightCompressBound_0020_3972f2d122f6::mycodex_api::clang_O2::5e89819a0154,phase3ar::zstd_lib_compress_huf_compress.c_HUF_tightCompressBound_0020_3972f2d122f6::mycodex_api::clang_O2::77e0e2bffb43,zstd::lib_compress_huf_compress.c::HUF_tightCompressBound::0020::3972f2d122f6,zstd,HUF_tightCompressBound,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::llm4decompile::gcc_O0::f9db1d681509,phase3ar::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::llm4decompile::gcc_O0::bd33ceeb28e8,zstd::lib_compress_zstd_compress.c::ZSTD_resolveExternalSequenceValidation::0010::bc098e5a07df,zstd,ZSTD_resolveExternalSequenceValidation,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::ghidra::clang_O2::7d6a2c349a9e,phase3ar::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::ghidra::clang_O2::78015c5d55cb,zstd::lib_compress_zstd_compress.c::ZSTD_resolveExternalSequenceValidation::0010::bc098e5a07df,zstd,ZSTD_resolveExternalSequenceValidation,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::angr::clang_O2::c50015b56d40,phase3ar::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::angr::clang_O2::22e45fb90a84,zstd::lib_compress_zstd_compress.c::ZSTD_resolveExternalSequenceValidation::0010::bc098e5a07df,zstd,ZSTD_resolveExternalSequenceValidation,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::llm4decompile::clang_O2::66cdfc56bb63,phase3ar::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::llm4decompile::clang_O2::dd3524a4548a,zstd::lib_compress_zstd_compress.c::ZSTD_resolveExternalSequenceValidation::0010::bc098e5a07df,zstd,ZSTD_resolveExternalSequenceValidation,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::mycodex_api::clang_O2::d0efcb0c7414,phase3ar::zstd_lib_compress_zstd_compress.c_ZSTD_resolveExternalSequenceValidation_0010_bc098e5a07df::mycodex_api::clang_O2::f1dbe460a4ed,zstd::lib_compress_zstd_compress.c::ZSTD_resolveExternalSequenceValidation::0010::bc098e5a07df,zstd,ZSTD_resolveExternalSequenceValidation,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::llm4decompile::gcc_O0::f787b7a4884f,phase3ar::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::llm4decompile::gcc_O0::9adfef632ae0,zstd::lib_legacy_zstd_v07.c::FSEv07_abs::0001::99911172ff45,zstd,FSEv07_abs,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::ghidra::clang_O2::e4299f5944a2,phase3ar::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::ghidra::clang_O2::32a38432c6c4,zstd::lib_legacy_zstd_v07.c::FSEv07_abs::0001::99911172ff45,zstd,FSEv07_abs,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::angr::clang_O2::bcbe500f10a1,phase3ar::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::angr::clang_O2::0012412711e1,zstd::lib_legacy_zstd_v07.c::FSEv07_abs::0001::99911172ff45,zstd,FSEv07_abs,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::llm4decompile::clang_O2::f516d5a9cfe2,phase3ar::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::llm4decompile::clang_O2::b313a146b0de,zstd::lib_legacy_zstd_v07.c::FSEv07_abs::0001::99911172ff45,zstd,FSEv07_abs,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
