mode,budget_or_time_limit,population,candidate_denominator,supported_candidates,mean_detection,median_detection,stddev_detection,p2_5_detection,p97_5_detection,best_seed_detection,worst_seed_detection,no_mismatch_false_alarms,distinct_no_mismatch_false_alarm_candidates,baseline_status,blocker,clang_version,source_literal_dictionary_used
wall_clock,0.01,low_density_fixture_passing_wrong,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.01,non_fixture_overfit_fixture_passing_wrong,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.01,no_mismatch_comparison,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.1,primary_fixture_passing_wrong,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.1,low_density_fixture_passing_wrong,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.1,non_fixture_overfit_fixture_passing_wrong,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.1,no_mismatch_comparison,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,1.0,primary_fixture_passing_wrong,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,1.0,low_density_fixture_passing_wrong,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,1.0,non_fixture_overfit_fixture_passing_wrong,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,1.0,no_mismatch_comparison,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,5.0,primary_fixture_passing_wrong,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,5.0,low_density_fixture_passing_wrong,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,5.0,non_fixture_overfit_fixture_passing_wrong,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,5.0,no_mismatch_comparison,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
