policy,budget,scope,denominator,detected,detection_rate,median_first_witness_rank,unexpected_in_domain_mismatch_count,source
source_behavioral_diversity_no_distance,4,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_literal_char_interleave,1,controlled_primary_fixture_passing_wrong,37,15.0,0.40540540540540543,1.0,0,reused_phase1
source_literal_char_interleave,1,controlled_low_density_fixture_passing_wrong,16,2.0,0.125,1.0,0,reused_phase1
